timestamp,lat,lon,order_volume,traffic_index,priority,weather,hour,day_of_week,month
2025-08-22 01:51:37,41.65338416803423,26.55628115808479,12,0.1791685057761771,High,Sunny,1,4,8
2025-12-12 08:44:36,41.71767716263665,26.519331185360443,11,0.9930591148042803,Medium,Rainy,8,4,12
2025-04-24 04:04:22,41.646734565184936,26.538135742260987,12,0.13859196973359963,High,Sunny,4,3,4
2025-11-01 04:57:36,41.6386997205272,26.528218588738604,36,0.16566470332797512,High,Sunny,4,5,11
2025-11-29 06:42:22,41.67761694802485,26.54256511656982,46,0.226192036305076,Low,Sunny,6,5,11
2025-05-11 10:33:51,41.685302234023766,26.543765323403953,8,0.2627403016925346,High,Sunny,10,6,5
2025-05-27 11:56:54,41.6267808890092,26.53576075314859,8,0.24467377294865225,High,Sunny,11,1,5
2025-01-06 04:52:17,41.69901537269784,26.546742387345926,8,0.5062158836713433,Low,Rainy,4,0,1
2025-05-14 23:22:00,41.659983992432096,26.53795204892701,12,0.16715029209332205,Medium,Sunny,23,2,5
2025-08-24 19:05:16,41.68029517776647,26.56940384686878,13,0.7108129916567528,Medium,Sunny,19,6,8
2025-05-17 07:44:22,41.68927130504441,26.562088821519353,16,0.962913440140894,High,Rainy,7,5,5
2025-02-21 03:42:22,41.66112215064476,26.553536367507483,14,0.27260857093529484,Low,Rainy,3,4,2
2025-11-17 02:18:25,41.670849385357165,26.506087445150197,31,0.34108426605849484,Low,Sunny,2,0,11
2025-09-28 13:11:21,41.646058141473446,26.560110278548418,14,0.2267753615945716,Low,Sunny,13,6,9
2025-11-16 22:10:31,41.698762016979,26.548845250215248,28,0.19658090675007214,Medium,Sunny,22,6,11
2025-03-17 04:38:38,41.645578210824155,26.557296047794765,10,0.16008981903485814,Low,Sunny,4,0,3
2025-08-13 19:56:44,41.70155883804431,26.550452716785056,11,0.6620366360706597,Medium,Sunny,19,2,8
2025-10-17 06:17:03,41.6562145750661,26.5127738338258,11,0.3524546223389044,Low,Rainy,6,4,10
2025-05-13 20:46:58,41.621644596838514,26.542001834085625,12,0.15535973205277087,High,Sunny,20,1,5
2025-07-17 06:56:15,41.71475237812072,26.49894311159233,9,0.15048494715357685,High,Sunny,6,3,7
2025-10-07 22:35:59,41.64008528587879,26.529218055806165,9,0.13982747928399203,Low,Sunny,22,1,10
2025-05-20 11:35:25,41.70070752839163,26.552289354384026,9,0.361909310361589,High,Rainy,11,1,5
2025-02-06 18:55:31,41.69598709899467,26.552977983018174,16,0.656022409171174,High,Sunny,18,3,2
2025-09-22 20:57:05,41.64507123462496,26.54245705441307,16,0.2338958657963338,Low,Sunny,20,0,9
2025-09-09 21:46:18,41.66498228438847,26.568279696801124,20,0.23830827252168274,High,Sunny,21,1,9
2025-01-21 17:15:57,41.67051943365345,26.5515448497919,12,0.8927898414731121,Low,Rainy,17,1,1
2025-10-01 16:47:49,41.66905688962332,26.579176063222725,13,0.1900287289814816,Low,Sunny,16,2,10
2025-09-20 13:23:03,41.62016476081345,26.55370370220145,13,0.2960036157443719,Low,Sunny,13,5,9
2025-05-26 16:18:03,41.67546873365948,26.531464013563028,13,0.2757842087121067,High,Sunny,16,0,5
2025-05-20 05:44:52,41.705876681136296,26.539019130098257,9,0.1982095634352156,Low,Sunny,5,1,5
2025-06-15 12:48:26,41.675891909974006,26.571162163256734,11,0.19280972614630604,High,Sunny,12,6,6
2025-10-24 10:40:59,41.69444794671564,26.559845090654356,14,0.1927158357907427,High,Sunny,10,4,10
2025-03-11 05:17:51,41.65464185006449,26.53415240265668,10,0.49310174215561214,High,Rainy,5,1,3
2025-07-03 18:24:47,41.65125830350273,26.54792775336225,17,0.7656722188597682,Low,Sunny,18,3,7
2025-07-12 18:07:33,41.6265561830127,26.49493155098784,8,0.6444759611926563,Medium,Sunny,18,5,7
2025-01-10 18:33:51,41.67494153165691,26.53784748228225,6,0.8657205134390709,High,Rainy,18,4,1
2025-11-03 11:04:02,41.674239554697735,26.5642561862696,37,0.38241021343359854,High,Rainy,11,0,11
2025-02-16 17:47:16,41.669783040957896,26.566791977346174,12,0.9092907213331979,High,Rainy,17,6,2
2025-11-22 23:45:16,41.620348109998446,26.574304120479976,20,0.13281825854533905,Low,Sunny,23,5,11
2025-04-25 04:11:24,41.730113047838685,26.56684023168366,13,0.29817444751857314,Medium,Rainy,4,4,4
2025-03-15 10:50:08,41.65050421207678,26.546010159666768,8,0.15989890681320543,High,Sunny,10,5,3
