saat_bazli_zaman,grid_id,hour,day_of_week,weather,is_special_event,toplam_siparis_sayisi,traffic_index
2025-01-01 08:00:00,Grid_0_5,8,2,Clear,0,1,0.644
2025-01-01 08:00:00,Grid_1_6,8,2,Clear,0,3,0.7086666666666667
2025-01-01 08:00:00,Grid_2_5,8,2,Clear,0,2,0.6205
2025-01-01 08:00:00,Grid_4_6,8,2,Clear,0,2,0.665
2025-01-01 08:00:00,Grid_4_7,8,2,Clear,0,2,0.6805
2025-01-01 08:00:00,Grid_5_3,8,2,Clear,0,3,0.7000000000000001
2025-01-01 08:00:00,Grid_5_4,8,2,Clear,0,15,0.6846666666666666
2025-01-01 08:00:00,Grid_5_5,8,2,Clear,0,9,0.6965555555555556
2025-01-01 08:00:00,Grid_5_7,8,2,Clear,0,1,0.699
2025-01-01 08:00:00,Grid_6_2,8,2,Clear,0,1,0.707
2025-01-01 08:00:00,Grid_6_4,8,2,Clear,0,3,0.7396666666666666
2025-01-01 08:00:00,Grid_6_5,8,2,Clear,0,3,0.6826666666666666
2025-01-01 08:00:00,Grid_6_6,8,2,Clear,0,1,0.727
2025-01-01 08:00:00,Grid_6_9,8,2,Clear,0,4,0.727
2025-01-01 08:00:00,Grid_7_2,8,2,Clear,0,1,0.634
2025-01-01 08:00:00,Grid_7_4,8,2,Clear,0,1,0.75
2025-01-01 08:00:00,Grid_7_5,8,2,Clear,0,1,0.661
2025-01-01 08:00:00,Grid_7_7,8,2,Clear,0,1,0.642
2025-01-01 08:00:00,Grid_9_2,8,2,Clear,0,1,0.576
2025-01-01 09:00:00,Grid_1_6,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_4_6,9,2,Rain/Snow,0,2,1.0
2025-01-01 09:00:00,Grid_4_7,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_5_4,9,2,Rain/Snow,0,18,0.9938888888888889
2025-01-01 09:00:00,Grid_5_5,9,2,Rain/Snow,0,12,0.9984999999999999
2025-01-01 09:00:00,Grid_6_3,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_6_4,9,2,Rain/Snow,0,3,0.992
2025-01-01 09:00:00,Grid_6_6,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_6_8,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_7_0,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_7_1,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_7_4,9,2,Rain/Snow,0,2,1.0
2025-01-01 09:00:00,Grid_7_5,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_8_1,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_8_2,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_8_3,9,2,Rain/Snow,0,1,1.0
2025-01-01 09:00:00,Grid_9_4,9,2,Rain/Snow,0,1,1.0
2025-01-01 10:00:00,Grid_2_5,10,2,Clear,0,2,0.6984999999999999
2025-01-01 10:00:00,Grid_3_6,10,2,Clear,0,1,0.686
2025-01-01 10:00:00,Grid_4_5,10,2,Clear,0,2,0.7004999999999999
2025-01-01 10:00:00,Grid_4_6,10,2,Clear,0,2,0.6825
2025-01-01 10:00:00,Grid_4_7,10,2,Clear,0,1,0.743
2025-01-01 10:00:00,Grid_5_3,10,2,Clear,0,3,0.6836666666666668
2025-01-01 10:00:00,Grid_5_4,10,2,Clear,0,13,0.7080000000000001
2025-01-01 10:00:00,Grid_5_5,10,2,Clear,0,12,0.7092499999999999
2025-01-01 10:00:00,Grid_5_7,10,2,Clear,0,1,0.651
2025-01-01 10:00:00,Grid_6_2,10,2,Clear,0,1,0.695
2025-01-01 10:00:00,Grid_6_4,10,2,Clear,0,2,0.6585
2025-01-01 10:00:00,Grid_6_5,10,2,Clear,0,2,0.7455
2025-01-01 10:00:00,Grid_6_6,10,2,Clear,0,2,0.722
2025-01-01 10:00:00,Grid_6_9,10,2,Clear,0,1,0.711
2025-01-01 10:00:00,Grid_7_1,10,2,Clear,0,1,0.65
2025-01-01 10:00:00,Grid_7_4,10,2,Clear,0,2,0.7669999999999999
2025-01-01 10:00:00,Grid_7_5,10,2,Clear,0,1,0.64
2025-01-01 10:00:00,Grid_8_4,10,2,Clear,0,2,0.706
2025-01-01 10:00:00,Grid_9_4,10,2,Clear,0,1,0.7
2025-01-01 11:00:00,Grid_1_6,11,2,Rain/Snow,0,1,0.791
2025-01-01 11:00:00,Grid_2_5,11,2,Rain/Snow,0,1,0.784
2025-01-01 11:00:00,Grid_2_6,11,2,Rain/Snow,0,1,0.691
2025-01-01 11:00:00,Grid_3_6,11,2,Rain/Snow,0,2,0.7335
2025-01-01 11:00:00,Grid_4_5,11,2,Rain/Snow,0,1,0.732
2025-01-01 11:00:00,Grid_4_6,11,2,Rain/Snow,0,1,0.825
2025-01-01 11:00:00,Grid_5_3,11,2,Rain/Snow,0,2,0.7155
2025-01-01 11:00:00,Grid_5_4,11,2,Rain/Snow,0,7,0.7432857142857143
2025-01-01 11:00:00,Grid_5_5,11,2,Rain/Snow,0,8,0.738375
2025-01-01 11:00:00,Grid_5_7,11,2,Rain/Snow,0,1,0.816
2025-01-01 11:00:00,Grid_6_5,11,2,Rain/Snow,0,2,0.7024999999999999
2025-01-01 11:00:00,Grid_6_6,11,2,Rain/Snow,0,3,0.7549999999999999
2025-01-01 11:00:00,Grid_6_8,11,2,Rain/Snow,0,1,0.785
2025-01-01 11:00:00,Grid_6_9,11,2,Rain/Snow,0,1,0.894
2025-01-01 11:00:00,Grid_7_4,11,2,Rain/Snow,0,1,0.747
2025-01-01 11:00:00,Grid_7_6,11,2,Rain/Snow,0,1,0.764
2025-01-01 12:00:00,Grid_2_5,12,2,Rain/Snow,0,1,0.817
2025-01-01 12:00:00,Grid_5_3,12,2,Rain/Snow,0,1,0.933
2025-01-01 12:00:00,Grid_5_4,12,2,Rain/Snow,0,11,0.8611818181818183
2025-01-01 12:00:00,Grid_5_5,12,2,Rain/Snow,0,3,0.8613333333333334
2025-01-01 12:00:00,Grid_6_0,12,2,Rain/Snow,0,1,0.835
2025-01-01 12:00:00,Grid_6_2,12,2,Rain/Snow,0,1,0.812
2025-01-01 12:00:00,Grid_7_1,12,2,Rain/Snow,0,1,0.902
2025-01-01 12:00:00,Grid_7_5,12,2,Rain/Snow,0,1,0.82
2025-01-01 12:00:00,Grid_8_2,12,2,Rain/Snow,0,1,0.876
2025-01-01 12:00:00,Grid_8_7,12,2,Rain/Snow,0,1,0.903
2025-01-01 13:00:00,Grid_4_5,13,2,Clear,0,2,0.46799999999999997
2025-01-01 13:00:00,Grid_4_6,13,2,Clear,0,1,0.48
2025-01-01 13:00:00,Grid_5_4,13,2,Clear,0,6,0.4855
2025-01-01 13:00:00,Grid_5_5,13,2,Clear,0,5,0.5028
2025-01-01 13:00:00,Grid_6_4,13,2,Clear,0,1,0.463
2025-01-01 13:00:00,Grid_7_1,13,2,Clear,0,1,0.46
2025-01-01 13:00:00,Grid_8_4,13,2,Clear,0,1,0.49
2025-01-01 14:00:00,Grid_3_6,14,2,Clear,0,3,0.4033333333333333
2025-01-01 14:00:00,Grid_4_6,14,2,Clear,0,1,0.353
2025-01-01 14:00:00,Grid_4_7,14,2,Clear,0,1,0.391
2025-01-01 14:00:00,Grid_5_3,14,2,Clear,0,1,0.378
2025-01-01 14:00:00,Grid_5_4,14,2,Clear,0,5,0.42940000000000006
2025-01-01 14:00:00,Grid_5_5,14,2,Clear,0,9,0.4282222222222222
2025-01-01 14:00:00,Grid_6_1,14,2,Clear,0,1,0.307
2025-01-01 14:00:00,Grid_6_2,14,2,Clear,0,1,0.44
2025-01-01 14:00:00,Grid_6_4,14,2,Clear,0,1,0.412
2025-01-01 14:00:00,Grid_8_2,14,2,Clear,0,1,0.349
2025-01-01 14:00:00,Grid_8_4,14,2,Clear,0,1,0.367
2025-01-01 15:00:00,Grid_1_6,15,2,Clear,0,1,0.372
2025-01-01 15:00:00,Grid_3_6,15,2,Clear,0,1,0.364
2025-01-01 15:00:00,Grid_4_6,15,2,Clear,0,1,0.414
2025-01-01 15:00:00,Grid_5_4,15,2,Clear,0,4,0.415
2025-01-01 15:00:00,Grid_5_5,15,2,Clear,0,4,0.41025
2025-01-01 15:00:00,Grid_5_7,15,2,Clear,0,1,0.355
2025-01-01 15:00:00,Grid_6_5,15,2,Clear,0,1,0.368
2025-01-01 15:00:00,Grid_6_6,15,2,Clear,0,1,0.366
2025-01-01 15:00:00,Grid_6_8,15,2,Clear,0,2,0.41600000000000004
2025-01-01 15:00:00,Grid_8_2,15,2,Clear,0,1,0.451
2025-01-01 15:00:00,Grid_8_4,15,2,Clear,0,3,0.4056666666666667
2025-01-01 16:00:00,Grid_0_5,16,2,Rain/Snow,0,1,0.73
2025-01-01 16:00:00,Grid_2_5,16,2,Rain/Snow,0,1,0.793
2025-01-01 16:00:00,Grid_3_7,16,2,Rain/Snow,0,1,0.663
2025-01-01 16:00:00,Grid_4_5,16,2,Rain/Snow,0,1,0.709
2025-01-01 16:00:00,Grid_5_3,16,2,Rain/Snow,0,2,0.766
2025-01-01 16:00:00,Grid_5_4,16,2,Rain/Snow,0,7,0.7545714285714286
2025-01-01 16:00:00,Grid_5_5,16,2,Rain/Snow,0,7,0.7782857142857144
2025-01-01 16:00:00,Grid_5_7,16,2,Rain/Snow,0,1,0.717
2025-01-01 16:00:00,Grid_6_5,16,2,Rain/Snow,0,2,0.765
2025-01-01 16:00:00,Grid_6_6,16,2,Rain/Snow,0,1,0.767
2025-01-01 16:00:00,Grid_7_1,16,2,Rain/Snow,0,1,0.74
2025-01-01 16:00:00,Grid_7_2,16,2,Rain/Snow,0,1,0.772
2025-01-01 16:00:00,Grid_7_4,16,2,Rain/Snow,0,1,0.771
